,Fund name,Asset class,Currency,NAV,NAV Date,Daily price change
0,Eastspring Investments - Asia ESG Bond Fund - A,Bond,USD,10.816,2025-04-08,-0.789
1,Eastspring Investments - Asia ESG Bond Fund - ADM,Bond,USD,8.504,2025-04-08,-0.793
2,Eastspring Investments - Asia ESG Bond Fund - AS (hedged),Bond,SGD,9.66,2025-04-08,-0.791
3,Eastspring Investments - Asia ESG Bond Fund - ASDM (hedged),Bond,SGD,8.09,2025-04-08,-0.785
4,Eastspring Investments - Asia ESG Bond Fund - C,Bond,USD,10.826,2025-04-08,-0.779
5,Eastspring Investments - Asia ESG Bond Fund - R,Bond,USD,10.345,2025-04-08,-0.786
6,Eastspring Investments - Asian Bond Fund - A,Bond,USD,18.568,2025-04-08,-0.876
7,Eastspring Investments - Asian Bond Fund - AADM (hedged),Bond,AUD,5.863,2025-04-08,-0.896
8,Eastspring Investments - Asian Bond Fund - ADM,Bond,USD,7.274,2025-04-08,-0.886
9,Eastspring Investments - Asian Bond Fund - ADQ,Bond,USD,8.048,2025-04-08,-0.887
10,Eastspring Investments - Asian Bond Fund - AGDM (hedged),Bond,GBP,5.787,2025-04-08,-0.891
11,Eastspring Investments - Asian Bond Fund - AHDM,Bond,HKD,6.281,2025-04-08,-0.868
12,Eastspring Investments - Asian Bond Fund - ANDM (hedged),Bond,NZD,6.143,2025-04-08,-0.903
13,Eastspring Investments - Asian Bond Fund - AS,Bond,SGD,13.716,2025-04-08,-0.745
14,Eastspring Investments - Asian Bond Fund - AS (hedged),Bond,SGD,9.926,2025-04-08,-0.889
15,Eastspring Investments - Asian Bond Fund - ASDM,Bond,SGD,6.6,2025-04-08,-0.737
16,Eastspring Investments - Asian Bond Fund - ASDM (hedged),Bond,SGD,6.16,2025-04-08,-0.885
17,Eastspring Investments - Asian Bond Fund - C,Bond,USD,13.088,2025-04-08,-0.879
18,Eastspring Investments - Asian Bond Fund - CDM,Bond,USD,7.252,2025-04-08,-0.875
19,Eastspring Investments - Asian Dynamic Fund - A,Equity,USD,10.642,2025-04-08,-0.607
20,Eastspring Investments - Asian Dynamic Fund - C,Equity,USD,10.225,2025-04-08,-0.603
21,Eastspring Investments - Asian Equity Fund - A,Equity,USD,19.429,2025-04-08,-0.568
22,Eastspring Investments - Asian Equity Fund - AS,Equity,SGD,15.677,2025-04-08,-0.438
23,Eastspring Investments - Asian Equity Fund - C,Equity,USD,9.178,2025-04-08,-0.574
24,Eastspring Investments - Asian Equity Income Fund - A,Equity,USD,12.886,2025-04-08,-0.34
25,Eastspring Investments - Asian Equity Income Fund - AADM (hedged),Equity,AUD,6.332,2025-04-08,-0.393
26,Eastspring Investments - Asian Equity Income Fund - ADM,Equity,USD,6.545,2025-04-08,-0.35
27,Eastspring Investments - Asian Equity Income Fund - AS,Equity,SGD,12.674,2025-04-08,-0.213
28,Eastspring Investments - Asian Equity Income Fund - AS (hedged),Equity,SGD,9.774,2025-04-08,-0.367
29,Eastspring Investments - Asian Equity Income Fund - ASDM,Equity,SGD,6.939,2025-04-08,-0.201
30,Eastspring Investments - Asian Equity Income Fund - C,Equity,USD,13.937,2025-04-08,-0.343
31,Eastspring Investments - Asian High Yield Bond Fund - A,Bond,USD,9.684,2025-04-08,-0.89
32,Eastspring Investments - Asian High Yield Bond Fund - AADM (hedged),Bond,AUD,3.912,2025-04-08,-0.912
33,Eastspring Investments - Asian High Yield Bond Fund - ADM,Bond,USD,4.038,2025-04-08,-0.884
34,Eastspring Investments - Asian High Yield Bond Fund - ANDM (hedged),Bond,NZD,3.961,2025-04-08,-0.925
35,Eastspring Investments - Asian High Yield Bond Fund - AS (hedged),Bond,SGD,6.208,2025-04-08,-0.91
36,Eastspring Investments - Asian High Yield Bond Fund - ASDM,Bond,SGD,4.33,2025-04-08,-0.756
37,Eastspring Investments - Asian High Yield Bond Fund - ASDM (hedged),Bond,SGD,3.757,2025-04-08,-0.897
38,Eastspring Investments - Asian High Yield Bond Fund - C,Bond,USD,10.677,2025-04-08,-0.873
39,Eastspring Investments - Asian Investment Grade Bond Fund - A,Bond,USD,11.0,2025-04-08,-0.569
40,Eastspring Investments - Asian Local Bond Fund - A,Bond,USD,14.727,2025-04-08,-1.168
41,Eastspring Investments - Asian Local Bond Fund - AADM (hedged),Bond,AUD,6.569,2025-04-08,-1.159
42,Eastspring Investments - Asian Local Bond Fund - ADM,Bond,USD,8.041,2025-04-08,-1.168
43,Eastspring Investments - Asian Local Bond Fund - AS,Bond,SGD,12.945,2025-04-08,-1.04
44,Eastspring Investments - Asian Local Bond Fund - C,Bond,USD,12.902,2025-04-08,-1.164
45,Eastspring Investments - Asian Low Volatility Equity Fund - A,Equity,USD,14.352,2025-04-08,0.315
46,Eastspring Investments - Asian Low Volatility Equity Fund - ADM,Equity,USD,9.373,2025-04-08,0.31
47,Eastspring Investments - Asian Low Volatility Equity Fund - AS,Equity,SGD,12.515,2025-04-08,0.441
48,Eastspring Investments - Asian Low Volatility Equity Fund - AS (hedged),Equity,SGD,11.676,2025-04-08,0.292
49,Eastspring Investments - Asian Low Volatility Equity Fund - ASDM,Equity,SGD,9.229,2025-04-08,0.446
50,Eastspring Investments - Asian Low Volatility Equity Fund - ASDM (hedged),Equity,SGD,8.529,2025-04-08,0.294
51,Eastspring Investments - Asian Low Volatility Equity Fund - C,Equity,USD,14.908,2025-04-08,0.31
52,Eastspring Investments - Asian Multi Factor Equity Fund - A,Equity,USD,10.637,2025-04-08,-0.57
53,Eastspring Investments - China A Shares Growth Fund - A,Equity,USD,7.971,2025-04-08,0.038
54,Eastspring Investments - China A Shares Growth Fund - AS,Equity,SGD,4.728,2025-04-08,0.169
55,Eastspring Investments - China A Shares Growth Fund - C,Equity,USD,5.511,2025-04-08,0.036
56,Eastspring Investments - China Bond Fund - A,Bond,USD,11.05,2025-04-08,-0.799
57,Eastspring Investments - China Bond Fund - ADM,Bond,USD,9.42,2025-04-08,-0.79
58,Eastspring Investments - China Bond Fund - ASDM (hedged),Bond,SGD,9.126,2025-04-08,-0.804
59,Eastspring Investments - China Bond Fund - R,Bond,USD,10.577,2025-04-08,-0.788
60,Eastspring Investments - China Equity Fund - A,Equity,USD,8.893,2025-04-08,0.577
61,Eastspring Investments - China Equity Fund - AS,Equity,SGD,7.436,2025-04-08,0.718
62,Eastspring Investments - Global Dynamic Growth Equity Fund - A,Equity,USD,18.336,2025-04-08,5.823
63,Eastspring Investments - Global Dynamic Growth Equity Fund - AS (hedged),Equity,SGD,11.152,2025-04-08,5.816
64,Eastspring Investments - Global Dynamic Growth Equity Fund - C,Equity,USD,18.702,2025-04-08,5.828
65,Eastspring Investments - Global Emerging Markets Bond Fund - A,Bond,USD,13.284,2025-04-08,-0.405
66,Eastspring Investments - Global Emerging Markets Bond Fund - ADM,Bond,USD,6.113,2025-04-08,-0.407
